business_vintage_months,industry_type,avg_monthly_gst_turnover,avg_monthly_bank_balance,num_cheque_bounces_last_6mo
108,Retail,152185.2912198338,275721.9318308671,1
57,Retail,186858.6388736391,191204.92283313157,2
98,Service,272937.94204720634,205417.754175632,3
20,Retail,389258.9517114352,190238.5260946883,0
112,Service,117252.56459470096,182045.26568968935,0
77,Manufacturing,294519.1365082522,169719.82620914208,0
66,Retail,252582.0843420355,130157.14775423397,2
26,Manufacturing,432596.46742852335,87661.08760810677,2
108,Manufacturing,132309.15260307456,143467.30155189434,4
88,Retail,309254.06154936226,178288.68498360316,0
92,Manufacturing,260639.05626514062,153613.0950486995,0
80,Service,446979.8926277288,96733.2152940372,2
80,Manufacturing,359765.26463532494,141705.8475008311,2
93,Service,241418.43407422653,139099.8595708431,4
105,Service,385338.6443329082,146882.267901561,4
109,Service,261117.11466914264,174545.76744633296,1
29,Manufacturing,399932.97112397535,185312.90184551512,3
8,Service,276292.3009114422,124997.42745127238,0
27,Service,405466.6578768763,199056.0594006257,0
58,Manufacturing,343608.195512725,206581.9059834156,4
7,Retail,626049.1080691423,166015.09665242728,4
93,Retail,294710.39945839957,183237.51359765342,1
113,Retail,338286.2291621448,199211.57212309743,3
35,Retail,252057.52582840688,95117.76752102643,1
43,Retail,300268.53407547786,202736.5667490898,3
7,Manufacturing,29816.486585055885,110496.95637010233,0
69,Retail,346558.4016541032,115364.91816858106,1
65,Service,434287.4212949412,159814.45839073806,4
26,Retail,339663.0004599354,42797.99371626653,1
38,Manufacturing,168613.85420226227,158781.015411288,1
81,Manufacturing,219821.2847290999,199089.04734779013,0
63,Service,56980.78728437296,67703.80767769917,4
27,Manufacturing,397892.4006865424,204450.46622732255,4
113,Retail,199348.67072904197,115060.61907362725,2
94,Manufacturing,297129.1409787772,160343.08902464004,2
54,Retail,284626.242767278,122321.2746497269,2
96,Manufacturing,448772.70356582664,178645.9242064523,0
64,Retail,308528.13179657387,201247.37780818818,1
47,Service,380889.29201060097,182350.51821912488,4
97,Service,354646.37641476624,149800.94252531498,4
65,Retail,435941.1419961399,126207.23317032875,1
85,Retail,276087.63054970413,146534.89853144434,4
20,Retail,486961.53305045166,182798.57324798207,1
67,Retail,101433.7843600685,184513.31995864594,0
67,Service,385747.3498001236,177541.32910880612,0
52,Retail,213338.0391335868,85871.12292214777,0
67,Retail,250725.04472200474,148848.8770782295,1
56,Retail,356941.42669010354,118328.5517901424,1
113,Manufacturing,356140.2049847743,183246.45099529138,3
60,Retail,360642.80136900715,111751.41233107017,4
69,Retail,161384.2055894762,172602.68790421123,4
8,Retail,444903.023127924,135890.61195927352,3
106,Service,209935.28817723243,56045.190836712936,3
56,Manufacturing,223271.29097748006,196547.9642943999,0
12,Retail,363789.6738166829,148735.6389068021,3
26,Retail,271327.8825238759,213798.86478828458,1
78,Service,330826.0840562492,66734.54606611814,2
44,Service,84339.93033672121,135423.9344541252,1
23,Retail,328432.44495192316,139179.77895200677,3
9,Service,321783.18795122154,163510.31456191558,4
94,Manufacturing,249014.14622357168,83740.63479215004,1
65,Retail,92592.40402352106,177201.89283868895,4
19,Service,278719.1738518395,245583.12031405166,1
119,Service,296262.6140201387,173726.8673232766,4
14,Service,263277.1009669505,154643.6200911756,1
95,Retail,116382.55355675024,81127.12964873132,4
58,Retail,459473.4007316916,111287.69432214875,2
7,Manufacturing,236113.8472055627,147207.75495886136,0
89,Manufacturing,277779.5337077099,123511.17645785854,1
97,Service,59052.56787817096,201312.82131354924,2
116,Service,459485.5348698207,176685.1600484319,0
65,Service,253345.00682659438,284618.92938234855,1
76,Service,309846.28170742025,100957.07817878542,2
49,Retail,412073.74448166514,151655.73056958665,2
13,Retail,232369.5795283374,80825.38137328545,2
52,Manufacturing,396324.4987386544,38877.96127048378,3
40,Retail,93867.45440588583,186136.04897265765,4
83,Manufacturing,355098.6657571313,174830.7691483678,0
86,Retail,457224.2166519653,107270.47826771051,4
41,Retail,241958.31527819703,154651.48097967118,4
55,Retail,411888.1620298399,118536.62005372277,4
109,Service,483392.26521937834,125289.6272578362,2
9,Manufacturing,274515.8161945981,133985.7693616863,4
7,Retail,266247.1714150139,105171.7411297861,3
11,Manufacturing,210170.6254167696,114167.50450900217,1
59,Service,249026.98448148664,115578.2278027873,2
111,Manufacturing,218464.01097273797,171143.94233766652,0
9,Retail,210088.8901572773,11288.99120075928,1
59,Manufacturing,419883.52967113565,138618.53692575986,1
98,Service,221007.39747117404,95615.90617311634,1
68,Retail,325852.1914719623,97422.36568873597,4
23,Retail,303823.34352162376,123717.33129581375,4
95,Manufacturing,449809.45625711227,149283.0145013421,2
49,Manufacturing,249684.37679449865,139279.40691466533,4
39,Retail,338114.8046654322,96796.97451008979,4
79,Service,379106.9702276109,186084.82592227883,4
67,Manufacturing,448974.96073205816,104869.80065697548,2
105,Manufacturing,248224.6654954733,113264.6872036941,2
